db_old;nome_old;db_new;nome_new;ambiente
EDL_INT;BR_TCR_DETTAGLIOBOLLETTE;;;
EDL_INT;VW_XE_TCR_TCR_SOGGETTI_LR;;;
EDL_INT;BR_TCR_SOTTOTESTATABOLLETTE;;;
EDL_INT;BR_TCR_TARIFFEXE_TABLE;;;
EDL_INT;BR_TCR_TESTATABOLLETTE;;;
EDL_INT;BR_TCR_VARIABILIXE_TABLE;;;
EDL_INT;VW_XE_TCR_TCR_FORNITURE_LR;;;
EDL_INT;XE_TCR_FORNITURE_EXT;;;
EDL_LND;SMS_XE_ANAGRAFICHE_COMMERCIALI_TRANS_CAMPAGNE_MIGRATE;;;
EDL_LND;SMS_XE_ANAGRAFICHE_COMMERCIALI_TRANS_CAMPAGNE_REGOLATE;;;
EDL_LND;SMS_XE_ANAGRAFICHE_COMMERCIALI_TRANS_SIEBEL_DOMM;;;
EDL_LND;SMS_XE_ANAGRAFICHE_COMMERCIALI_TRANS_SIEBEL_LARGE;;;
EDL_LND;SMS_XE_ANAGRAFICHE_COMMERCIALI_TRANS_SMS_OLD;;;
EDL_NETA;VW_NETA_FCF_CODICI_IVA;CURATO;NETDO_CODICI_IVA;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_FATT_INCA;CURATO;NETDO_FATT_INC_TOT;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_FORNITURA;CURATO;NETDO_FORNITURA;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_GRUPPI_FATTURAZIONE;CURATO;NETDO_GRUPPI_FATTURAZIONE;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_REP_ASSI_VALORI;CURATO;NETDO_REP_ASSI_VALORI;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_REP_CLASSI_INT;CURATO;NETDO_CLASSI_INT;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_REP_CLU;CURATO;NETDO_REP_CLU;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_REP_COTP_PRZ_CLU;CURATO;NETDO_REP_COTP_PRZ_CLU;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_REP_FMT;CURATO;NETDO_REP_FMT;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_REP_FORN_PROF;CURATO;NETDO_REP_FORN_PROF;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_REP_FORN_VOF;CURATO;NETDO_REP_FORN_VOF;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_REP_PRO_VOF_COMP;CURATO;NETDO_REP_PRO_VOF_COMP;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_REP_PROF_PREV;CURATO;NETDO_REP_PRO_PROF_PREV;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_REP_PROF_VAL;CURATO;NETDO_REP_PROF_VAL;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_REP_VAL;CURATO;NETDO_REP_VAL;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_SOGLIE_REL_COD_IVA;CURATO;NETDO_SOGLIE_REL_COD_IVA;PREPROD/PROD
EDL_NETA;VW_NETA_FCF_VOCI_IMPOSTA;CURATO;NETDO_VOCI_IMPOSTA;PREPROD/PROD
EDL_ODS;VW_DG_L1_CAUSALE;TRANSACTIONALINTERFACE;CLCRI_CAUSALE;TEST
EDL_ODS;VW_DG_L1_DISTRIBUTORI;TRANSACTIONALINTERFACE;CLCRI_DISTRIBUTORI;TEST
EDL_ODS;VW_DG_L1_COMPONENTE;TRANSACTIONALINTERFACE;CLCRI_COMPONENTE;TEST
EDL_ODS;VW_DG_L1_CONTO_CLIENTE;TRANSACTIONALINTERFACE;CLCRI_CONTO_CLIENTE;TEST
EDL_ODS;VW_DG_L1_DG_CONTI_CLIENTE_BI;CURATO;NETDO_CONTI_CLIENTI_BI;PREPROD/PROD
EDL_ODS;VW_DG_L1_DETTAGLIO_FATTURA;TRANSACTIONALINTERFACE;CLCRI_DETTAGLIO_FATTURA;TEST
EDL_ODS;VW_DG_L1_FATTURA;TRANSACTIONALINTERFACE;CLCRI_TESTATA_BOLLETTA;TEST
EDL_ODS;VW_DG_L1_SOTTOTESTATA;TRANSACTIONALINTERFACE;CLCRI_SOTTO_TESTATA;TEST
EDL_ODS;VW_DG_L1_VOCE;TRANSACTIONALINTERFACE;CLCRI_VOCE;TEST
EDL_ODS;VW_FCF_BLOCCHI_FATTURAZIONE;TRANSACTIONALINTERFACE;CLCRI_BLOCCHI_FATTURAZIONE;TEST
EDL_ODS;VW_FCF_LETTURA_GAS;TRANSACTIONALINTERFACE;CLCRI_LETTURA_GAS;TEST
EDL_ODS;VW_FCF_LETTURA_PWR;TRANSACTIONALINTERFACE;LETTURA_PWR;TEST
EDL_ODS;VW_FCF_MISURA_PUNTUALE;TRANSACTIONALINTERFACE;CLCRI_MISURA_PUNTUALE;TEST
EDL_ODS;VW_FCF_SOGGETTI;TRANSACTIONALINTERFACE;CLCRI_SOGGETTI;TEST
EDL_ODS;VW_DG_L1_RECORD_CONTRATTO;CURATO;ETRM1_RECORD_CONTRATTO;PREPROD/PROD
EDL_ODS;VW_DG_L1_RECORD_PREZZI;CURATO;ETRM1_RECORD_CONTRATTO_NM;PREPROD/PROD
EDL_ODS;VW_DG_L1_RECORD_CONTRATTO_NM;CURATO;ETRM1_L0_RECORD;PREPROD/PROD
EDL_ODS;VW_DG_L1_RECORD_PREZZI_NM;CURATO;ETRM1_L0_RECORD_NM;PREPROD/PROD
EDL_TCR;VW_TCR_FCF_FORNITURE_GAS;CURATO;TCR_01_FORNITURE_GAS;PREPROD/PROD
EDL_TCR;VW_TCR_FCF_FORNITURE_PWR;CURATO;TCR_01_FORNITURE_PWR;PREPROD/PROD
EDL_TCR;VW_TCR_FCF_MAPPING_TCR_PWR;CURATO;TCR_01_MAPPING_TCR_PWR;PREPROD/PROD
EDL_TCR;VW_TCR_FCF_MAPPING_VOCI_CONTABILI_PWR;CURATO;TCR_01_MAPPING_VOCI_CONTABILI_PWR;PREPROD/PROD
EDL_TCR;VW_TCR_FCF_QUADRATURA_FATTURATO;CURATO;TCR_01_QUADRATURA_FATTURATO;PREPROD/PROD
EDL_TCR;VW_TCR_FCF_QUADRATURA_LETTURE_GAS;CURATO;TCR_01_QUADRATURA_LETTURE_GAS;PREPROD/PROD
EDL_TCR;VW_TCR_FCF_QUADRATURA_LETTURE_PWR;CURATO;TCR_01_QUADRATURA_LETTURE_PWR;PREPROD/PROD
EDL_TCR;VW_TCR_FCF_RICAVI_GAS;CURATO;TCR_01_RICAVI_GAS;PREPROD/PROD
EDL_TCR;VW_TCR_FCF_RICAVI_PWR;CURATO;TCR_01_RICAVI_PWR;PREPROD/PROD
EDL_TCR;VW_TCR_FCF_CAMBI_PRODOTTO;CURATO;TCR_01_CAMBIO_PRODOTTTO;PREPROD/PROD
EDL_TCR;VW_TCR_FCF_MAPPING_TCR_GAS;CURATO;TCR_01_MAPPING_TCR_GAS;PREPROD/PROD
EDL_TCR;VW_TCR_FCF_MAPPING_VOCI_CONTABILI_GAS;CURATO;TCR_01_MAPPING_VOCI_CONTABILI_GAS;PREPROD/PROD
EDL_WAP;OT_WAP_CALENDARIO_FATTURAZIONE_MENSILE_ALL_VER;;;
EDL_WAP;OT_WAP_PUNTI_OPEN_DA_BPC_ESTRAZIONE_CE_ALL_VER;;;
EDL_WAP;OT_WAP_PUNTI_OPEN_DA_BPC_ESTRAZIONE_DR_ALL_VER;;;
EDL_WAP;OT_WAP_STANZIAMENTI_COSTI_CONSUMI_ALL_VER;;;
EDL_XE;VW_XE_DBO_TBINSTALLATIONHIGHENERGYCONSUMPTIONS;CURATO;XEGY1_INSTALLAZIONE_HEC_PWR;
EDL_XE;VW_XE_DBO_TBINSTALLATIONINFO;CURATO;XEGY1_SCHEDE_TECNICHE_PWR;
EDL_XE;VW_XE_DBO_TBITEMS;;;
EDL_XE;VW_XE_FCF_REPORT_FATT_INCA;;;
EDL_XE;VW_XE_GAS_TBINSTALLATIONINFO;;;
EDL_XE;VW_XE_DBO_TBINVOICES_ALLEGATO;;;
EDL_XE;VW_XE_GAS_TBINSTALLATIONEXCISECONF;;;
EDL_XE;VW_XE_GAS_TBITEMS;;;
EDL_XE;VW_XE_GAS_TBREMI;;;
EDL_XE;VW_XE_DBO_TBINSTALLATIONEXCISECONF;;;
EDL_XE;VW_XE_GAS_TBINVOICES_ALLEGATO;;;
